task,date,start_time,end_time,id,duration,notes,tags,calibration_success,calibration_time,calibration_params,whisper_start,whisper_end,calib_time,reading,medium,material,mode,age,split,device
1,09-18,1726691097,1726691341,886820026715228,243.8476240500004,Lord Henry is saying hea a good husband,"[('What type of reading material did you read? ', ['Book'])]",False,7181947172,[],89.105,243.022,73.52717200000006,True,Print,Book,Read out loud,18-24,train,
1,09-18,1726698129,1726698380,1250611745937350,250.5381660129999,Dessert ideas,"[('What type of reading material did you read? ', ['Magazine'])]",False,1049082197,"[1.0177896535787, 0.9654265159532, 0.95413148622271, -0.072964496717502, 0.10146274559186, -0.063209959048843]",173.764,248.935,166.58319699999993,True,Print,Magazine,Read out loud,41-45,train,
1,09-19,1726776727,1726776975,514817357837885,246.86991168800068,Describing coast of LA Paz and scenery points ,"[('What type of reading material did you read? ', ['Brochure'])]",True,6209613067,"[0.98949644523418, 0.94752471188121, 1.0059365275502, 0.083754198170415, -0.071123742623944, 0.0075175161326091]",125.194,242.817,113.17106700000022,True,Print,Brochure,Read out loud,25-30,train,
1,09-19,1726782493,1726782792,1571260100157309,297.97652605,"Fashion, hotels, Volkswagen vehicle. Reading from a travel magazine ","[('What type of reading material did you read? ', ['Magazine'])]",True,221808724,"[0.98283315587356, 0.97892349269307, 0.99880458441463, 0.033759720518744, -0.025458475460085, 0.014684031921502]",56.66,295.716,51.374724000000015,True,Print,Magazine,Read out loud,31-35,train,
1,09-20,1726849763,1726850056,881863720673753,292.3979689,Hanes product they want you to be happy,"[('What type of reading material did you read? ', ['Flier'])]",True,493146006,"[1.0079556096787, 0.99659334453556, 1.0366891461646, -0.0084602288858778, 0.029028891372472, -0.022860926329339]",87.751,290.356,81.670006,True,Print,Flier,Read out loud,41-45,train,
1,09-20,1726862500,1726862795,845186307370793,294.6083094249989,Read about the impact of social media,"[('What type of reading material did you read? ', ['Newspaper'])]",True,39686464542,"[1.1118739099945, 1.0003641801761, 1.0282437707105, -0.048649193358222, 0.084944610000865, -0.051144351986902]",61.898,292.843,56.02554200000304,True,Print,Newspaper,Read out loud,31-35,train,
1,09-20,1726870424,1726870710,437597389339869,286.252497112,The glasses were comfortable ,"[('What type of reading material did you read? ', ['Magazine'])]",True,449387748,"[0.99413308685135, 0.99723231202788, 1.0005284063741, 0.060068354561731, -0.030366702327279, -0.041875490466214]",64.272,284.275,58.80674799999997,True,Print,Magazine,Read out loud,18-24,train,
1,09-23,1727108069,1727108320,1697575934389365,250.77015297499747,An opinion editorial criticizing apparent misuse of public funds by a nonprofit's leader,"[('What type of reading material did you read? ', ['Newspaper'])]",True,64446111643,"[1.0297704630028, 0.93620479943895, 1.0784586737924, -0.010540748785587, 0.079579588104373, -0.041113208902128]",60.759,249.903,57.69964299999992,True,Print,Newspaper,Read out loud,41-45,train,
1,09-23,1727120840,1727121138,1733622640722608,296.6178246249983,A young girl describes her surroundings and unusual anonymity of herself.,"[('What type of reading material did you read? ', ['Book'])]",True,18818710855,"[0.91274013076285, 0.89050113966938, 0.99923487175254, -0.055505261316089, 0.085771834055276, 0.025081949176258]",88.82,294.361,73.27385499999946,True,Print,Book,Read out loud,36-40,train,
1,09-23,1727129227,1727129521,1078612430274619,294.22456120000004,A music venue in Olympia with less than ideal circumstances for employees and patrons,"[('What type of reading material did you read? ', ['Newspaper'])]",True,825020870,"[1.0013264069008, 1.0109841224568, 1.0086309270122, 0.001212410092557, 0.021796558994702, 0.0025354991048784]",74.477,292.834,69.5418699999999,True,Print,Newspaper,Read out loud,25-30,train,
1,09-24,1727195382,1727195675,511434918160245,292.169583375,"How to use virtual app on your phone to pay for what you shopped for,","[('What type of reading material did you read? ', ['Brochure'])]",True,8306430348,"[0.94819884171021, 0.99880889552789, 0.96558522059702, -0.041291976290655, 0.021910963508548, 0.059890372625408]",68.832,290.701,59.98834800000077,True,Print,Brochure,Read out loud,41-45,train,
1,09-24,1727208448,1727208747,1946781045841402,298.48585781300017,I was reading about an event of LGBTQ+ community event at a coffee shop,"[('What type of reading material did you read? ', ['Newspaper'])]",True,2701281196,"[0.84741722961947, 0.94528484531096, 0.91757799050538, -0.046353212565879, 0.038040546846571, -0.01581903626739]",67.02,296.912,63.59319599999981,True,Print,Newspaper,Read out loud,18-24,train,
1,09-25,1727281196,1727281488,2761264424046961,292.03725093799585,This article is highlighting a research project around a wilderness therapy center as well as the beginnings of another account related to national unity that occurs with weather reports in Taiwan,"[('What type of reading material did you read? ', ['Newspaper'])]",True,93591222799,"[0.92841167860245, 0.91029184963338, 1.0975301372595, 0.018746680350224, 0.036889631430833, 0.028000923202316]",60.792,290.544,55.7027989999915,True,Print,Newspaper,Read out loud,36-40,train,
1,09-25,1727300873,1727301123,454983980219145,249.670192263,Read a cooking recipe about black bean cakes ,"[('What type of reading material did you read? ', ['Magazine'])]",True,649800804,"[0.98095650513533, 0.99723078886954, 0.9664016167497, -0.008529324391164, 0.04103390252922, 0.027872969103673]",57.621,248.904,52.39280399999996,True,Print,Magazine,Read out loud,36-40,train,
1,09-26,1727371627,1727371873,512552301394936,245.556282937001,A group of men met a Dr elkleburg and set on a mission,"[('What type of reading material did you read? ', ['Book'])]",True,12921606257,"[1.0667029697793, 0.9388269639534, 0.95187022824924, 0.030194912695542, 0.015165415538849, 0.027017833195809]",71.092,244.688,64.1272570000001,True,Print,Book,Read out loud,18-24,val,
1,09-26,1727381015,1727381311,487583654100623,295.09011937499963,Reading about ferry rules for passengers riding kitsap ferry.,"[('What type of reading material did you read? ', ['Brochure'])]",True,19796652636,"[0.98715669299165, 1.0060459574338, 1.0073584087908, 0.049815898752133, 0.065526493330345, -0.031222378138869]",74.823,292.63,66.25063600000067,True,Print,Brochure,Read out loud,36-40,val,
1,09-26,1727387494,1727387786,1758504701352791,291.5441485880001,The material is about food and recipes ,"[('What type of reading material did you read? ', ['Magazine'])]",False,119620088705,"[0.86526602456947, 0.87664586742341, 0.55524118050106, 0.061535593696117, 0.011569346463296, -0.075439246278547]",76.732,289.883,67.6727050000045,True,Print,Magazine,Read out loud,41-45,val,
1,09-27,1727454243,1727454532,1175218740217740,288.89977238699794,Frittatq recipe with ingredients and preparation instructions,"[('What type of reading material did you read? ', ['Magazine'])]",True,132353276426,"[0.99577703927472, 1.0069357254288, 1.0060824691435, -0.0072615397089679, 0.070970229688429, -0.0005129675837198]",68.098,287.489,59.86242600000696,True,Print,Magazine,Read out loud,36-40,val,
1,09-27,1727466013,1727466275,553036260546751,262.1849899869994,Qfc how to use the app,"[('What type of reading material did you read? ', ['Flier'])]",True,21655031903,"[0.99879757629216, 0.99861322546013, 0.99403914971395, 0.00082429990042593, 0.047810338836731, 0.047190019707346]",92.47,260.74,84.62190299999929,True,Print,Flier,Read out loud,36-40,val,
1,09-27,1727473980,1727474273,877582551105653,292.3535513379902,Described about the experience at the hotel .,"[('What type of reading material did you read? ', ['Magazine'])]",True,141432181632,"[1.0363846653546, 0.97191995083504, 0.94250156133646, -0.031094629555533, 0.060916252268887, -0.011763913949828]",94.426,290.618,77.6736319999909,True,Print,Magazine,Read out loud,36-40,val,
1,09-30,1727714922,1727715167,1652719895593801,244.8495837250012,Retirement event and complementary dinner after presentation ,"[('What type of reading material did you read? ', ['Flier'])]",False,56295610567,"[1.0529616826899, 1.1075481995707, 0.96856196222531, -0.029421555616145, 0.12575000711534, 0.077455385674662]",72.34,243.717,66.09256700000697,True,Print,Flier,Read out loud,46-50,val,
1,09-30,1727724250,1727724501,8767443973277005,250.901938012,A book about huckleberry Finn. Speaking about mark twain,"[('What type of reading material did you read? ', ['Book'])]",True,169030636,"[1.0014287745296, 1.0043577693912, 0.98687903566642, -0.019946023435193, 0.044181115182043, 0.052323550812455]",101.168,249.451,93.58063599999998,True,Print,Book,Read out loud,25-30,val,
1,09-30,1727731660,1727731918,1079844057086759,257.1169427880086,News head lines.,"[('What type of reading material did you read? ', ['Newspaper'])]",True,169867808742,"[1.020554309339, 0.9830870124621, 1.0564643144102, 0.01630023232888, 0.032844929951956, -0.051890631700305]",75.749,255.379,64.34774199998355,True,Print,Newspaper,Read out loud,31-35,test,
1,10-01,1727799769,1727800071,2531521093704945,300.73261370000546,"A man named Robin knocked on a door at night and asked a pretty housekeeper, who answered it, to get the owner who was to hear a message.","[('What type of reading material did you read? ', ['Book'])]",True,190197609432,"[0.99896823252391, 0.99454133531313, 0.99564092465688, -0.0079780491984965, 0.06832062308212, 0.0045833801441309]",85.698,298.608,69.15743200000725,True,Print,Book,Read out loud,36-40,test,
1,10-01,1727812539,1727812838,2559914544201696,298.80534431200067,Gatsby was a successful icon that people looked up to. This was an introduction of who he was and what he was like. ,"[('What type of reading material did you read? ', ['Book'])]",True,21473147250,"[1.0034475728653, 0.96789776567416, 0.96287553765338, 0.026512010799947, 0.039652909397025, 0.022885695778588]",105.333,297.406,94.70825000000332,True,Print,Book,Read out loud,25-30,test,
1,10-01,1727819316,1727819608,560762449709327,291.63832605,Reading arguments supporting a careful reading of autobiographies as a method of revealing the subject's true character as well as their own perception of self.,"[('What type of reading material did you read? ', ['Book'])]",True,369784056,"[0.97799421377851, 1.0010771351529, 1.0249974471727, -0.0040538046014897, 0.025287192975387, -0.0058122433222072]",78.815,290.158,66.32405600000004,True,Print,Book,Read out loud,36-40,test,
1,10-02,1727886107,1727886404,850429157172812,295.9122467249981,Pondering on what the brains main function for understanding is and how it works.,"[('What type of reading material did you read? ', ['Book'])]",True,203015521798,"[0.94495635827657, 0.92479445149015, 0.95531471011145, -0.026715343534938, 0.070170861804032, 0.037708758250122]",87.36,294.273,81.10579800000414,True,Print,Book,Read out loud,31-35,test,
1,10-02,1727897073,1727897332,475751258786595,257.6334444380009,Was about mankind,"[('What type of reading material did you read? ', ['Book'])]",True,18590191050,"[0.97101324663051, 0.94656426091418, 0.97944788132014, 0.040723145155511, 0.025234898199912, 0.012066785994192]",141.961,254.494,133.6980500000027,True,Print,Book,Read out loud,25-30,test,
1,10-02,1727905503,1727905750,573119418614894,246.8239324620008,How shift was not clever.,"[('What type of reading material did you read? ', ['Book'])]",True,37937510165,"[0.99679862199474, 1.0004527589393, 0.97867381224014, -0.052207795579413, 0.0053995022227403, 0.070427444871265]",124.604,246.078,117.05416500000138,True,Print,Book,Read out loud,31-35,test,
1,10-03,1727972059,1727972359,1052694306396949,299.5457984370005,Characters Shift and Puzzle were introduced to the story. ,"[('What type of reading material did you read? ', ['Book'])]",False,11555061055,"[1.0189112182822, 1.0218860500064, 0.97629322129682, 0.064849309203854, 0.06030713228058, 0.12062177576437]",70.47,298.219,64.67905500000052,True,Print,Book,Read out loud,25-30,test,
1,10-03,1727986022,1727986315,1063512728900510,292.53688436199445,All about industrial gloves used for different jobs  Note: Replace for PT1 (09/30),"[('What type of reading material did you read? ', ['Brochure'])]",True,241866839277,"[1.0192403084324, 0.96723395209333, 1.0036289345921, 0.079038458884723, -0.01295008001929, 0.014324131307097]",73.2,291.585,67.39427699998487,True,Print,Brochure,Read out loud,31-35,test,
2,09-12,1726158610,1726158856,1272446900582364,244.770808387,Fox sentence and tounge twisters,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Text on Whiteboard'])]",True,735621268,"[0.93124256925942, 0.99669821547994, 0.96858411718418, 0.029120091887413, 0.060713862353137, 0.0190618993461]",67.64,243.656,62.218267999999966,True,Object,Text on Whiteboard,Read out loud,31-35,train,
2,09-12,1726172518,1726172762,9178007578884246,243.35563436300072,Wishing Well frog story,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Text on Whiteboard'])]",True,12532160971,"[0.96786776709367, 1.0105896122771, 1.0224150565268, 0.07177360145696, -0.016811843226583, 0.020372440896652]",69.189,241.633,63.69097099999999,True,Object,Text on Whiteboard,Read out loud,31-35,train,
2,09-13,1726249105,1726249289,1534906770460008,183.0873458499991,Salmon safety practices details on a signage in outdoor garden area,"[('How did you read the object?', ['Horizontal Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",True,21325827517,"[1.0009912320998, 1.0096076986392, 1.0004425472278, -0.0020416106181441, 0.08174339154004, -0.0010734484276255]",73.815,181.357,68.40951700000005,True,Object,Signage,Read out loud,46-50,train,
2,09-13,1726259740,1726259923,1864753507363030,181.97878171200136,Salmon safe agriculture ,"[('How did you read the object?', ['Horizontal Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",True,28556719404,"[0.9987389567234, 1.0083484946219, 1.0005164827918, -0.0062857081430096, 0.027527510040777, -0.0022924296001725]",70.885,180.492,68.29940400000123,True,Object,Signage,Read out loud,25-30,train,
2,09-16,1726504550,1726504794,489823407263251,243.68909576300007,"Talking about life storm, keep pushing until the brighter day is ahead. ","[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Text on Whiteboard'])]",True,1312670639,"[1.0000969594223, 1.0035766213117, 1.0003159204695, 0.0030098649022383, 0.027800894907101, -0.0097469474142943]",107.077,242.72,94.23363900000004,True,Object,Text on Whiteboard,Read out loud,31-35,train,
2,09-16,1726517148,1726517396,1435482897138919,247.675384787,The text was about enjoying the simple things in life and appreciating their mother's advice,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Text on Whiteboard'])]",True,732548500,"[0.98135635535585, 1.0054623943681, 1.0004479449181, 0.060126020495127, -0.050020945506875, 0.0019859307934172]",79.511,246.892,74.13249999999994,True,Object,Text on Whiteboard,Read out loud,31-35,train,
2,09-16,1726524212,1726524458,867449688427131,246.20697301299992,I was reading some sentences on the whiteboard ,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Text on Whiteboard'])]",False,1516937877,"[1.000462007497, 0.98812830578346, 0.99743577146732, -0.096331517100965, 0.18782875066188, 0.01315702099506]",100.704,244.965,89.43787700000007,True,Object,Text on Whiteboard,Read out loud,46-50,train,
2,09-17,1726590975,1726591167,3412328962404437,191.32123267499992,Read  about food poetry ,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Sticky Note'])]",False,986787820,"[0.99013979580931, 0.99450052591938, 0.98317401567392, -0.13945896116155, 0.12114409579583, -0.025668329991908]",70.498,189.617,58.36681999999996,True,Object,Sticky Note,Read out loud,46-50,train,
2,09-17,1726611238,1726611486,397817533121663,247.7284234380004,Badging required from 10 pm to 6 am. Contact GSOC for questions,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",True,10138686874,"[0.93919603276753, 0.90499499793215, 0.91570921292862, -0.067911346981653, 0.054145310968654, -0.023958668093291]",67.037,246.716,62.28987400000005,True,Object,Signage,Read out loud,25-30,train,
2,09-18,1726677423,1726677668,1885060398672589,244.7132221,Signage for entry,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",False,449369661,"[0.98770339346103, 1.0132843820516, 0.99252045095198, -0.12639170466051, 0.1181807721518, 0.040943030488771]",61.552,237.858,53.94966099999999,True,Object,Signage,Read out loud,25-30,train,
2,09-18,1726691402,1726691578,1185800869364921,175.5420212500003,Inspirational quotes to live by,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Sticky Note'])]",False,7460178570,[],86.892,174.802,79.74456999999984,True,Object,Sticky Note,Read out loud,18-24,train,
2,09-18,1726698496,1726698647,1647801002455604,150.01551628699983,Frito Lay chips,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Nutrition label'])]",False,1247898190,"[0.94896703621493, 1.0488134346085, 1.0027763402003, -0.11999722243134, 0.11013981119837, -0.047005643709858]",93.936,149.229,88.47519000000011,True,Object,Nutrition label,Read out loud,41-45,train,
2,09-19,1726777091,1726777260,905515498295701,167.8598165129997,Description and directions for cleanser,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Product label'])]",True,6431619532,"[0.97269723138165, 0.95208445159931, 0.99865000918132, 0.083816483080212, -0.054657914254797, 0.0032069826646531]",68.746,161.779,63.136531999999534,True,Object,Product label,Read out loud,25-30,train,
2,09-19,1726782913,1726783081,1208857793495865,167.42733407499998,College online portal redesign poster,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Poster'])]",True,533068951,"[0.97801097247445, 0.98438176190491, 0.99134570096292, 0.017442061083589, 0.0082933918653426, -0.0027144068422795]",57.64,165.792,51.63195099999996,True,Object,Poster,Read out loud,31-35,train,
2,09-20,1726850334,1726850500,513422841324691,165.96337321199996,Nutrition facts for fritos,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Nutrition label'])]",True,937058294,"[1.0998716313558, 1.0244782840901, 1.0039175211351, 0.013804982525966, 0.033188956250623, -0.052040194754386]",67.552,164.551,63.637294,True,Object,Nutrition label,Read out loud,41-45,train,
2,09-20,1726862868,1726863036,1070207231267679,168.41745923800045,Read drug facts of medicine box,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Product label'])]",True,39992831754,"[1.0182887319848, 0.98463127961106, 0.9986345602344, -0.070179608139324, 0.088264609399364, -0.067409256293335]",58.377,166.943,52.47775399999955,True,Object,Product label,Read out loud,31-35,train,
2,09-20,1726870808,1726871018,1524909795572005,209.79935626199995,It's just a general memo,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Sticky Note'])]",True,747309473,"[0.97657948753419, 0.99328236565722, 1.038722340955, 0.057981736373968, 0.014792872968134, -0.039630058993823]",58.374,207.899,53.87747300000001,True,Object,Sticky Note,Read out loud,18-24,train,
2,09-23,1727108515,1727108666,1044403470479686,150.7734664620002,Food nutritional label,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Nutrition label'])]",True,64724514944,"[1.0144958385483, 0.96361014762265, 1.058370115307, -0.035171079341011, 0.082850972754546, -0.062799385206071]",75.659,131.621,70.95794400000159,True,Object,Nutrition label,Read out loud,41-45,train,
2,09-23,1727121293,1727121477,1583561945531098,183.84763063799983,Turmeric dropper supplement.,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Nutrition label'])]",True,19127978213,"[0.90951382481687, 0.92691112359858, 1.0132437853946, -0.0435803667131, 0.065904575062655, 0.042002433638768]",77.421,181.946,66.56321299999763,True,Object,Nutrition label,Read out loud,36-40,train,
2,09-23,1727128277,1727128456,3930257260527016,178.58606273700002,"A flyer for a reading club at a coffee shop in fall city, wa","[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Poster'])]",True,400618302,"[0.9269303645192, 0.95927863005076, 0.99072941074387, -0.034165245499844, 0.053088704573845, 0.02334442998249]",82.901,165.564,78.11330200000003,True,Object,Poster,Read out loud,25-30,train,
2,09-24,1727195795,1727195965,1591959368199211,170.13130134899984,It is motivational quotes that encourages to try and do then to not.,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Sticky Note'])]",True,8614788153,"[0.96075617026605, 0.98689013359002, 0.9256395726754, -0.016110845439606, 0.038001193523694, 0.038810029209187]",72.774,168.38,64.35415300000022,True,Object,Sticky Note,Read out loud,41-45,train,
2,09-24,1727209090,1727209296,2511266915731831,205.388044375,Nutrition labels and ingredients of egg bites ,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Nutrition label'])]",True,3012773776,"[0.85057036892034, 0.88797747297123, 0.87783952271507, -0.037427741872278, 0.045644178016839, -0.016574433570149]",60.114,203.241,57.378776000000016,True,Object,Nutrition label,Read out loud,18-24,train,
2,09-25,1727281675,1727281858,517724937517466,182.47983004999696,"This is the back of a lotion bottle that provides advertisement about the product with things it proposes to do for the body, directions for use, and a history of the products. It also provides ingred","[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Product label'])]",True,93896775556,"[0.94123152896886, 0.93343360615952, 1.155612744095, 0.0443951794684, 0.043699619683856, 0.03574036415844]",62.536,181.341,56.2455559999944,True,Object,Product label,Read out loud,36-40,train,
2,09-25,1727306948,1727307078,487777154230007,128.80855586199323,Read many times a notification on surveillance and security ,"[('How did you read the object?', ['Horizontal Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",True,103097476449,"[0.95481048335664, 1.0182640964459, 0.92487329836487, -0.00091588248767748, 0.053225962845913, 0.023668576509804]",50.544,127.747,46.03044899999804,True,Object,Signage,Read out loud,36-40,train,
2,09-26,1727371997,1727372120,7448053348630506,122.31407639999998,A spray for furniture or fabrics to prevent cats from scratching ,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Product label'])]",True,13181942027,"[1.0056694772338, 1.0019038641614, 1.0011647205979, 0.032944565188743, 0.0051901807169119, 0.027697436920123]",54.172,121.618,51.50402699999904,True,Object,Product label,Read out loud,18-24,val,
2,09-26,1727381474,1727381636,1586834141926728,161.75264629999947,Signage about synonyms of certain words,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Poster'])]",True,20103199682,"[0.98720544571826, 0.99443951899704, 1.0431091303433, 0.045073064404399, 0.058741577695413, -0.036605454166496]",68.371,160.088,62.60068200000023,True,Object,Poster,Read out loud,36-40,val,
2,09-26,1727388290,1727388446,1425091318184709,155.660129987009,It's about what readers do and how they connect the stories ,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Poster'])]",True,120228189340,"[0.98275159580866, 1.0021844450536, 1.0015694362882, 0.039443875765608, -0.023193256834192, -0.025214953173064]",71.624,153.666,66.72733999999764,True,Object,Poster,Read out loud,41-45,val,
2,09-27,1727454616,1727454788,1693045194817686,170.6360557390144,Dental floss instructions on how to floss properly.,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Product label'])]",True,132661539433,"[1.0094866944593, 0.98968629205303, 1.0875500427258, 0.015214068133103, 0.08113022321954, 0.022679081757701]",71.582,169.466,63.12743299998692,True,Object,Product label,Read out loud,36-40,val,
2,09-27,1727471284,1727471425,1916253415539487,139.92153068799962,Read signage outside ,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",False,41507002926,[],81.484,138.713,77.52692599999864,True,Object,Signage,Read out loud,36-40,val,
2,09-27,1727474438,1727474613,541742718439866,174.22566047500004,Evacuation floor plan,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Signage'])]",True,141726504985,"[1.016837265614, 0.98331037360621, 0.99811781072555, -0.048620940441685, 0.05782769236501, 0.014829225961756]",70.876,172.902,65.06198500000755,True,Object,Signage,Read out loud,36-40,val,
2,09-30,1727715360,1727715508,1930090244144272,147.46120435000194,Practice tongue twinters to improve pronounceliation ,"[('How did you read the object?', ['Vertical Surface']), ('What object did you read from? (choose the closest)', ['Poster'])]",False,56549308632,"[1.06884083136, 1.0434345100519, 1.0138206630317, -0.017869855080112, 0.14035166692983, 0.056173977722362]",71.885,146.112,64.88963199999853,True,Object,Poster,Read out loud,46-50,val,
2,09-30,1727724623,1727724781,1035312368604550,157.08253437500002,Reading shin noodles package,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Nutrition label'])]",True,434576740,"[0.96981239824443, 1.0092262494761, 0.97389272713342, 0.0088458269258168, 0.050174666295828, 0.028126647868409]",72.157,155.929,68.11073999999996,True,Object,Nutrition label,Read out loud,25-30,val,
2,09-30,1727732011,1727732153,1462457117804098,141.12216472497676,Reading mouth wash label.,"[('How did you read the object?', ['Held in Hand']), ('What object did you read from? (choose the closest)', ['Product label'])]",True,170140984227,"[1.002519181525, 0.99877005650818, 1.0011599721456, 0.030850811784171, 0.043867216675668, -0.037849592441147]",63.137,140.404,57.56322700000601,True,Object,Product label,Read out loud,31-35,test,
